nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
La Rouvre du confluent de la Rouvrette (exclu) au confluent du Val du Breuil (exclu),48.6997,-0.3197,52.77,0.0,faible/nulle,modere,0-1,402341.4,2,0.0
La Marne du confluent de l'Osne (exclu) au confluent du ruisseau de Chevillon (exclu),48.5031,5.109,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Estrigon du confluent du Biensang (inclus) au confluent du Tourtilla,44.0494,-0.537,46.21,1.03,faible/nulle,modere,0-1,261206.8,1,82.3
L'Orne du confluent de la Cance (exclu) au confluent de l'Udon (exclu),48.7203,-0.1215,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Dives du siphon du canal Oursin (bassin du canal Oursin en amont du siphon exclu) au confluent de l'Ancre (exclu),49.2226,-0.1357,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
La Cure de sa source au confluent du Chalaux (exclu),47.2472,4.0429,43.0,5.0,moderee,modere,1-1,212704.6,6,91.6
L'Yonne du confluent du ruisseau de l'Abeille (inclus) au confluent de l'Anguison (exclu),47.1868,3.741,61.98,0.0,faible/nulle,modere,0-1,707926.4,10,0.0
LE THOUARET DE SA SOURCE AU RAU DE PIERLAY (NC),46.7705,-0.412,57.21,15.96,forte,modere,2-1,523812.8,5,98.9
LA SOMME DU RAU DE BARNAUD (C) A LA VALENCE (NC),46.7236,3.8857,8.13,0.0,faible/nulle,faible,0-0,0.0,3,0.0
LA CLAISE DU RAU DE L'ETANG VIEUX (NC) AU L611700 (C),46.7742,1.3268,53.66,1.52,faible/nulle,modere,0-1,426714.2,7,83.6
LA VOUEIZE DE LA VERNEIGETTE (NC) A LA TARDES (NC),46.2086,2.3736,93.23,0.0,faible/nulle,fort,0-2,45344346.0,3,0.0
LE BARBENAN & SES AFFLUENTS,46.1514,3.7697,38.16,0.0,faible/nulle,modere,0-1,153764.8,4,0.0
